제목,도로명주소,지역,위도,경도,인기점수
좀녀마을뚝배기,제주특별자치도 제주시 은남길 25,제주시,33.48737,126.495964,9428
행운문,제주특별자치도 제주시 애월읍 봉성로2길 34-3,제주시,33.364338,126.3552026,466
쉐프1192레스토랑,제주특별자치도 서귀포시 성산읍 환해장성로 465,서귀포시,33.3985983,126.9051378,446
천보식당,제주특별자치도 서귀포시 중앙로89번길 13,서귀포시,33.2521128,126.5591464,1150
제주돔베막국수,제주특별자치도 제주시 한경면 고산로 35,제주시,33.3041465,126.1794537,2082
카페오늘의바다,제주특별자치도 서귀포시 이어도로 990,서귀포시,33.2416566,126.5184877,504
제주스럽닭서귀포올레점,제주특별자치도 서귀포시 태평로 396,서귀포시,33.24425,126.5626707,358
제주에인감귤밭,제주특별자치도 서귀포시 호근서호로 20-14,서귀포시,33.2566081,126.5394101,1784
상명식당,제주특별자치도 제주시 한림읍 상한로 4,제주시,33.3580734,126.2742981,500
숨비나리카페,제주특별자치도 서귀포시 안덕면 중산간서로1615번길 8,서귀포시,33.282284,126.348366,6357
엄블랑디,제주특별자치도 서귀포시 일주동로 8713,서귀포시,33.2523783,126.5576332,262
제주오성,제주특별자치도 서귀포시 중문관광로 27,서귀포시,33.2556752,126.4146427,11728
카페 아트진,제주특별자치도 서귀포시 하예동 1830-7 1층,서귀포시,33.24512,126.38528,1377
모퉁이스낵,제주특별자치도 서귀포시 성산읍 일출로 270-2,서귀포시,33.461685,126.93423,2714
황금어장,제주특별자치도 서귀포시 중앙로48번길 14,서귀포시,33.2490795,126.5631739,6188
바다동굴,제주특별자치도 제주시 한림읍 월령3길 36,제주시,33.37875,126.216835,6079
현기네식당,제주특별자치도 제주시 번영로 487,제주시,33.4910157,126.5942761,3603
은희네해장국 본점,제주특별자치도 제주시 고마로13길 8,제주시,33.508522,126.5408,27976
제주 어가,제주특별자치도 제주시 1100로 3213-8,제주시,33.47434,126.48357,14462
치치퐁,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-62,서귀포시,33.235268,126.313446,22099
명품진전복해물탕,제주특별자치도 제주시 신설로 6,제주시,33.4939158,126.5415943,17096
정순화손두부,제주특별자치도 제주시 조천읍 일주동로 1415,제주시,33.54495,126.68638,6700
달에,제주특별자치도 제주시 애월읍 고내로9길 44-2,제주시,33.466644,126.3384,3562
오르막가든,제주특별자치도 서귀포시 대포중앙로 12,서귀포시,33.250298,126.43307,5498
두리호집,제주특별자치도 제주시 한림읍 한림해안로 127,제주시,33.4153664,126.2616327,2242
카페 웰컴,제주특별자치도 제주시 선덕로 23,제주시,33.486317,126.4991,302
운해횟집,제주특별자치도 서귀포시 대포로 174,서귀포시,33.238829,126.439408,6873
자리돔횟집,제주특별자치도 서귀포시 동홍동로 7,서귀포시,33.25554,126.57477,8314
금문도,제주특별자치도 제주시 원노형로 36,제주시,33.485535,126.4847,2900
시니어손맛 아리랑,제주특별자치도 제주시 동광로2길 7,제주시,33.500671,126.530808,1393
바다풍경횟집,제주특별자치도 제주시 서해안로 654,제주시,33.5161862,126.5069194,23170
